NOME FANTASIA,RAZÃO SOCIAL,CNPJ,TIPO,ATIVIDADE,NATUREZA JURÍDICA,PORTE,FATURAMENTO,CAPITAL SOCIAL,QUANT. FUNC.,DATA ABERT.,SÓCIOS,TELEFONE,EMAIL,CIDADE,ESTADO,BAIRRO,CEP,LOGRADOURO,NÚMERO,LOCATION,Lat,Lng,km.res$cluster
Alemao Tur Viagens E Turismo Ltda - Epp,Alemao Tur Viagens E Turismo Ltda - Epp,03.558.344/0001-09,SERVIÇOS,Agencias de viagens e serviços aos transportes,Sociedade Empresária Limitada, Pequeno porte,de R$360 mil até R$3.6 M ,Não Informado,Não Informado,17/12/1999,Não Informado,Não Informado,Não Informado,Joao Pessoa,PB,Dos Novais,58.088-540,Avenida Desembargador Santos Estanislau,S/N,"Avenida Desembargador Santos Estanislau, Joao Pessoa - PB",-7.1554721,-34.9008742,4
Logica Transportes Ltda - Epp,Logica Transportes Ltda - Epp,00.934.152/0001-61,SERVIÇOS,Agencias de viagens e serviços aos transportes,Sociedade Empresária Limitada, Pequeno porte,de R$360 mil até R$3.6 M ,Não Informado,Não Informado,28/11/1995,Não Informado,Não Informado,Não Informado,Joao Pessoa,PB,Pedro Gondim,58.031-003,Avenida Presidente Epitacio Pessoa,S/N,"Avenida Presidente Epitacio Pessoa, Joao Pessoa - PB",-7.1196999,-34.8471031,4
Classic Viagens E Turismo - Eireli - Epp,Classic Viagens E Turismo - Eireli - Epp,00.448.994/0001-03,SERVIÇOS,Agencias de viagens e serviços aos transportes,Empresa Individual De Responsabilidade Limitada (De Natureza Empresária), Pequeno porte,de R$360 mil até R$3.6 M ,Não Informado,Não Informado,2/22/1995,Não Informado,Não Informado,Não Informado,Joao Pessoa,PB,Dos Estados,58.030-001,Avenida Presidente Epitacio Pessoa,S/N,"Avenida Presidente Epitacio Pessoa, Joao Pessoa - PB",-7.1196999,-34.8471031,4
Jpa Agencia De Viagens E Turismo Receptivo Ltda - Epp,Jpa Agencia De Viagens E Turismo Receptivo Ltda - Epp,19.663.464/0001-06,SERVIÇOS,Agencias de viagens e serviços aos transportes,Sociedade Empresária Limitada, Pequeno porte,de R$360 mil até R$3.6 M ,Não Informado,Não Informado,2/5/2014,Não Informado,Não Informado,Não Informado,Joao Pessoa,PB,Manaira,58.038-000,Avenida Joao Mauricio,S/N,"Avenida Joao Mauricio, Joao Pessoa - PB",-7.1036005,-34.8302323,4
Italo Rua F Viagens - Epp,Italo Rua F Viagens - Epp,17.899.861/0001-56,SERVIÇOS,Agencias de viagens e serviços aos transportes,Empresário (Individual), Pequeno porte,de R$360 mil até R$3.6 M ,Não Informado,Até 4,4/9/2013,Não Informado,Não Informado,Não Informado,Campina Grande,PB,Bela Vista,58.428-790,Rua Montevideu,S/N,"Rua Montevideu, Campina Grande - PB",-7.2199459,-35.898276,2
Primeira Classe Viagens Turismo E ServiÇos Ltda - Epp,Primeira Classe Viagens Turismo E ServiÇos Ltda - Epp,21.784.776/0001-10,SERVIÇOS,Agencias de viagens e serviços aos transportes,Sociedade Empresária Limitada, Pequeno porte,de R$360 mil até R$3.6 M ,Não Informado,5 à 9,1/30/2015,Não Informado,Não Informado,Não Informado,Joao Pesso,PB,Manaira,58.037-000,Avenida Governador Flavio Ribeiro Coutinho,S/N,"Avenida Governador Flavio Ribeiro Coutinho, Joao Pesso - PB",-7.0976486,-34.8408272,4
Wup Transportes Turismo & Receptivo Ltda - Epp,Wup Transportes Turismo & Receptivo Ltda - Epp,13.860.740/0001-40,SERVIÇOS,Agencias de viagens e serviços aos transportes,Sociedade Empresária Limitada, Pequeno porte,de R$360 mil até R$3.6 M ,Não Informado,Até 4,6/27/2011,Não Informado,Não Informado,Não Informado,Joao Pessoa,PB,Manaira,58.038-000,Avenida Joao Mauricio,S/N,"Avenida Joao Mauricio, Joao Pessoa - PB",-7.1036005,-34.8302323,4
Roger Turismo Eireli - Epp,Roger Turismo Eireli - Epp,00.460.120/0001-71,SERVIÇOS,Agencias de viagens e serviços aos transportes,Empresa Individual De Responsabilidade Limitada (De Natureza Empresária), Pequeno porte,de R$360 mil até R$3.6 M ,Não Informado,20 à 49,3/3/1995,Não Informado,Não Informado,Não Informado,Joao Pessoa,PB,Tambau,58.039-050,Avenida Antonio Lira,S/N,"Avenida Antonio Lira, Joao Pessoa - PB",-7.1184622,-34.8245481,4
Apoiotur Viagens E Turismo Ltda - Epp,Apoiotur Viagens E Turismo Ltda - Epp,11.902.871/0001-17,SERVIÇOS,Agencias de viagens e serviços aos transportes,Sociedade Empresária Limitada, Pequeno porte,de R$360 mil até R$3.6 M ,Não Informado,5 à 9,2/13/1987,Não Informado,Não Informado,Não Informado,Joao Pessoa,PB,Cabo Branco,58.045-230,Rua Tabeliao Jose Ramalho Leite,S/N,"Rua Tabeliao Jose Ramalho Leite, Joao Pessoa - PB",-7.1264825,-34.8250565,4
Maria Iris Cruz Justino Da Costa Eireli - Epp,Maria Iris Cruz Justino Da Costa Eireli - Epp,22.201.904/0001-18,SERVIÇOS,Agencias de viagens e serviços aos transportes,Empresa Individual De Responsabilidade Limitada (De Natureza Empresária), Pequeno porte,de R$360 mil até R$3.6 M ,Não Informado,Não Informado,4/7/2015,Não Informado,Não Informado,Não Informado,Joao Pessoa,PB,Oitizeiro,58.088-540,Avenida Desembargador Santos Estanislau,S/N,"Avenida Desembargador Santos Estanislau, Joao Pessoa - PB",-7.1554721,-34.9008742,4
Ct Viagens ServiÇos Ltda - Epp,Ct Viagens ServiÇos Ltda - Epp,23.895.266/0001-45,SERVIÇOS,Agencias de viagens e serviços aos transportes,Sociedade Empresária Limitada, Pequeno porte,de R$360 mil até R$3.6 M ,Não Informado,5 à 9,30/12/2015,Não Informado,Não Informado,Não Informado,Joao Pessoa,PB,Tambia,58.020-500,Avenida Deputado Odon Bezerra,S/N,"Avenida Deputado Odon Bezerra, Joao Pessoa - PB",-7.1151481,-34.879769,2
Vm Viagens E Turismo Ltda - Epp,Vm Viagens E Turismo Ltda - Epp,19.596.008/0001-90,SERVIÇOS,Agencias de viagens e serviços aos transportes,Sociedade Empresária Limitada, Pequeno porte,de R$360 mil até R$3.6 M ,Não Informado,5 à 9,1/24/2014,Não Informado,Não Informado,Não Informado,Joao Pessoa,PB,Manaira,58.038-680,Rua Manoel Arruda Cavalcanti,S/N,"Rua Manoel Arruda Cavalcanti, Joao Pessoa - PB",-7.1018396,-34.8434517,4
Gpx Viagens E Turismo Ltda - Epp,Gpx Viagens E Turismo Ltda - Epp,14.239.914/0001-14,SERVIÇOS,Agencias de viagens e serviços aos transportes,Sociedade Empresária Limitada, Pequeno porte,de R$360 mil até R$3.6 M ,Não Informado,Não Informado,9/5/2011,Não Informado,Não Informado,Não Informado,Joao Pessoa,PB,Manaira,58.038-281,Avenida Esperanca,S/N,"Avenida Esperanca, Joao Pessoa - PB",-7.1059664,-34.8336358,4
Tania Miguel Duarte - Epp,Tania Miguel Duarte - Epp,13.814.987/0001-20,SERVIÇOS,Agencias de viagens e serviços aos transportes,Empresário (Individual), Pequeno porte,de R$360 mil até R$3.6 M ,Não Informado,Não Informado,6/15/2011,Não Informado,Não Informado,Não Informado,Joao Pessoa,PB,Brisamar,58.030-002,Rua Doutor Nunes Filho,S/N,"Rua Doutor Nunes Filho, Joao Pessoa - PB",-7.1184721,-34.8419794,4
Bessatur Viagens E Turismo Ltda - Epp,Bessatur Viagens E Turismo Ltda - Epp,40.974.164/0001-34,SERVIÇOS,Agencias de viagens e serviços aos transportes,Sociedade Empresária Limitada, Pequeno porte,de R$360 mil até R$3.6 M ,Não Informado,Não Informado,3/1/1992,Não Informado,Não Informado,Não Informado,Joao Pessoa,PB,Altiplano Cabo Branco,58.046-000,Avenida Joao Cirilo Da Silva,S/N,"Avenida Joao Cirilo Da Silva, Joao Pessoa - PB",-7.1412829,-34.8179441,4
Maritimos E Eventos,Jr Empreendimentos Nauticos Ltda - Epp,16.539.544/0001-66,SERVIÇOS,Agencias de viagens e serviços aos transportes,Sociedade Empresária Limitada, Pequeno porte,de R$360 mil até R$3.6 M ,Não Informado,Não Informado,7/20/2012,Não Informado,(83) 3226-5487,Não Informado,Cabedelo,PB,Jacare,58.310-000,Rua Mata Atlantica,307,"Rua Mata Atlantica, Cabedelo - PB",-7.0490873,-34.8514935,4
Xplorar Do Brasil Turismo Ltda - Epp,Xplorar Do Brasil Turismo Ltda - Epp,05.060.261/0001-10,SERVIÇOS,Agencias de viagens e serviços aos transportes,Sociedade Empresária Limitada, Pequeno porte,de R$360 mil até R$3.6 M ,Não Informado,5 à 9,5/24/2002,"Maria Do Carmo Santiago Carneiro, Jose Carneiro De Carvalho Neto",(83) 3226-3363,mariadocarmo@xplorar.com.br,Joao Pessoa,PB,Manaira,58.038-100,Avenida General Edson Ramalho,100,"Avenida General Edson Ramalho, Joao Pessoa - PB",-7.1048608,-34.8310873,4
Renascer Turismo,Renascer Transportes E Turismo Ltda - Epp,05.064.986/0001-87,SERVIÇOS,Agencias de viagens e serviços aos transportes,Sociedade Empresária Limitada, Pequeno porte,de R$360 mil até R$3.6 M ,"130,000.00",Não Informado,5/28/2002,"Marcos Goncalves De Lima, Maristela Costa Cavalcante De Lima",Não Informado,Não Informado,Bayeux,PB,Jardim Aeroporto,58.308-300,Rua Antonio Leandro De Medeiros,526,"Rua Antonio Leandro De Medeiros, Bayeux - PB",-7.139171,-34.9371847,4
Terra Brasilis Viagens E Turismo,Terra Brasilis Viagens E Turismo Ltda - Epp,13.418.459/0001-51,SERVIÇOS,Agencias de viagens e serviços aos transportes,Sociedade Empresária Limitada, Pequeno porte,de R$360 mil até R$3.6 M ,Não Informado,Não Informado,3/24/2011,Não Informado,(83) 8826-1092,Não Informado,Bayeux,PB,Sesi,58.306-000,Avenida Liberdade,2745,"Avenida Liberdade, Bayeux - PB",-7.1224175,-34.9145398,4
Metropolitan Viagens E Turismo Ltda - Epp,Metropolitan Viagens E Turismo Ltda - Epp,12.829.772/0001-10,SERVIÇOS,Agencias de viagens e serviços aos transportes,Sociedade Empresária Limitada, Pequeno porte,de R$360 mil até R$3.6 M ,Não Informado,Não Informado,11/9/2010,Não Informado,Não Informado,Não Informado,Joao Pessoa,PB,Centro,58.010-030,Rua Tenente Retumba,S/N,"Rua Tenente Retumba, Joao Pessoa - PB",-7.1204383,-34.8862225,4
Rogetur Transporte E Turismo Ltda - Epp,Rogetur Transporte E Turismo Ltda - Epp,70.108.907/0001-54,SERVIÇOS,Agencias de viagens e serviços aos transportes,Sociedade Empresária Limitada, Pequeno porte,de R$360 mil até R$3.6 M ,Não Informado,Até 4,2/1/1994,Não Informado,Não Informado,Não Informado,Joao Pessoa,PB,Tambia,58.020-700,Rua Oswaldo Cruz,S/N,"Rua Oswaldo Cruz, Joao Pessoa - PB",-7.1160046,-34.8711538,4
Inava Lobo Maia - Epp,Inava Lobo Maia - Epp,15.280.857/0001-80,SERVIÇOS,Agencias de viagens e serviços aos transportes,Empresário (Individual), Pequeno porte,de R$360 mil até R$3.6 M ,Não Informado,Não Informado,3/27/2012,Não Informado,Não Informado,Não Informado,Joao Pessoa,PB,Tambia,58.013-290,Rua Euripedes Tavares,S/N,"Rua Euripedes Tavares, Joao Pessoa - PB",-7.1188058,-34.875711,2
Nordeste Turismo & Seguros,Nordeste Operadora Turistica & Seguros Eireli - Epp,20.664.056/0001-58,SERVIÇOS,Agencias de viagens e serviços aos transportes,Empresa Individual De Responsabilidade Limitada (De Natureza Empresária), Pequeno porte,de R$360 mil até R$3.6 M ,Não Informado,Até 4,7/17/2014,Não Informado,(83) 8899-0188,daniellggg@hotmail.com,Santa Rita,PB,Centro,58.300-390,Rua Francisco Gomes De Azevedo,11,"Rua Francisco Gomes De Azevedo, Santa Rita - PB",-7.1248262,-34.9815942,4
Gilog,Gilog Gestao De Armazenagem Ltda,19.706.709/0001-35,SERVIÇOS,Agencias de viagens e serviços aos transportes,Sociedade Empresária Limitada, Pequeno porte,de R$360 mil até R$3.6 M ,"80,000.00",Não Informado,2/12/2014,"Sandra Cavalcanti Cunha, Anadite Domiciano Moura",(83) 3221-6671,gilog@gilog.com.br,Bayeux,PB,Sesi,58.306-000,Avenida Liberdade,3230,"Avenida Liberdade, Bayeux - PB",-7.1224175,-34.9145398,4
Praticagem Cabo Branco,Praticagem Cabo Branco S/S Ltda - Epp,22.723.546/0001-03,SERVIÇOS,Agencias de viagens e serviços aos transportes,Sociedade Simples Limitada, Pequeno porte,de R$360 mil até R$3.6 M ,Não Informado,Não Informado,6/10/2015,Não Informado,(83) 8129-0540,christian.mari@hotmail.com,Cabedelo,PB,Formosa,58.101-160,Rua Estudante Paulo Maia Guimaraes,304,"Rua Estudante Paulo Maia Guimaraes, Cabedelo - PB",-6.9814384,-34.829021,2
Rua & Rua Servicos Maritimos E Portuarios Ltda - Epp,Rua & Rua Servicos Maritimos E Portuarios Ltda - Epp,14.329.919/0001-38,SERVIÇOS,Agencias de viagens e serviços aos transportes,Sociedade Empresária Limitada, Pequeno porte,de R$360 mil até R$3.6 M ,Não Informado,Não Informado,9/21/2011,Não Informado,(83) 3228-1487,Não Informado,Cabedelo,PB, Centro,58.310-000,Rua Rua Maura Viana De Medeiros,156,"Rua Rua Maura Viana De Medeiros, Cabedelo - PB",-6.973367,-34.8374438,4
Adeildon Rolim De Souza - Epp,Adeildon Rolim De Souza - Epp,03.654.982/0001-23,SERVIÇOS,Agencias de viagens e serviços aos transportes, Empresário (Individual), Pequeno porte,de R$360 mil até R$3.6 M ,Não Informado,Não Informado,2/7/2000,Não Informado,Não Informado,Não Informado,Campina Grande,PB,Bodocongo Iii,58.107-426,Rua Cicero Alves De Brito,S/N,"Rua Cicero Alves De Brito, Campina Grande - PB",-7.2333246,-35.9308223,4
